name,path,size,file_or_folder
__pycache__,C:\Users\dima4\python_basics\sem_8,13029,folder
classwork_1.py,C:\Users\dima4\python_basics\sem_8,1980,file
classwork_2.py,C:\Users\dima4\python_basics\sem_8,2120,file
classwork_3.py,C:\Users\dima4\python_basics\sem_8,925,file
classwork_4.py,C:\Users\dima4\python_basics\sem_8,1518,file
data.csv,C:\Users\dima4\python_basics\sem_8,60,file
data.json,C:\Users\dima4\python_basics\sem_8,108,file
folder_info.csv,C:\Users\dima4\python_basics\sem_8,0,file
folder_info.json,C:\Users\dima4\python_basics\sem_8,0,file
folder_info.pickle,C:\Users\dima4\python_basics\sem_8,0,file
homework.py,C:\Users\dima4\python_basics\sem_8,2826,file
json_in.json,C:\Users\dima4\python_basics\sem_8,359,file
main.py,C:\Users\dima4\python_basics\sem_8,519,file
README.md,C:\Users\dima4\python_basics\sem_8,3385,file
res_classwork_3.json,C:\Users\dima4\python_basics\sem_8,543,file
classwork_2.cpython-311.pyc,C:\Users\dima4\python_basics\sem_8\__pycache__,3544,file
classwork_3.cpython-311.pyc,C:\Users\dima4\python_basics\sem_8\__pycache__,2051,file
classwork_4.cpython-311.pyc,C:\Users\dima4\python_basics\sem_8\__pycache__,2465,file
homework.cpython-311.pyc,C:\Users\dima4\python_basics\sem_8\__pycache__,4969,file
